Title,Year,prop_skinny,n_days
1147,1997,0,1
1147,1998,0,3
1147,1999,0,4
1147,2006,0,2
1147,2010,0,4
1147,2015,0,1
1148,1996,0,2
115,1989,0,1
115,1990,0,2
1152,1996,0,1
1153,1996,0,1
1155,1996,0,1
1155,1998,0,10
1158,1996,0,1
116,1989,0,1
1160,1996,0,1
1163,1996,0,1
1168,1996,0,1
1173,1996,0,2
1173,2001,0,1
1174,1996,0,1
1176,1996,0,1
1179,1996,0,1
118,1989,0,1
118,1998,0,6
1183,1996,0,1
1185,1996,0,1
119,1989,0,1
1190,1996,0,1
120,1989,0,1
120,1996,0.33333333333333337,3
120,1997,0,1
120,1999,0,2
120,2002,0,4
120,2003,0,2
120,2006,0,1
120,2013,1,1
120,2018,1,1
1205,1997,0,1
1206,1997,0,3
1208,1997,0,2
1217,1997,0,3
1219,1997,0,1
1220,1997,0,3
1221,1997,0,2
1227,1997,0,1
1229,1997,0,1
1233,1997,0,1
1234,1997,0,1
1237,1997,0,1
1239,1997,0,3
1239,1998,0,5
124,1989,0,2
124,1994,0,1
124,1996,0,5
124,1997,0,2
124,2002,0,2
1244,1997,0,1
1247,1997,0,1
1248,1997,0,2
1249,1997,0,1
1251,1997,0,1
1253,1997,0,2
1253,1998,0,1
1254,1997,0,1
1255,1997,0,1
1258,1997,0,2
1261,1997,0,1
1264,1997,0,1
1266,1997,0,1
1267,1997,0,6
127,1989,0,1
127,1997,0,1
127,1999,0,2
127,2002,0,2
1270,1997,0,1
1272,1997,0,1
1272,1998,0,1
1274,1997,0,1
1275,1997,0,1
1276,1997,0,1
1277,1997,0,1
1280,1997,0,1
1281,1997,0,1
1284,1997,0,2
1284,1998,0,1
1285,1997,0,1
129,1989,0,1
129,1990,0,1
1291,1997,0,1
1292,1997,0,4
1293,1997,0,1
1296,1997,0,1
1297,1997,0,1
13,1989,0,1
13,1990,0,5
1301,1997,0,1
1307,1997,0,2
1309,1997,0,1
131,1989,0,1
131,1994,0,1
131,1995,0,1
131,1997,0,2
131,1998,0.5,10
131,1999,0.33333333333333337,3
1311,1997,0,2
1313,1997,0,1
1313,1998,0,3
1313,2001,0,2
1313,2002,0,3
1313,2006,0,1
1313,2011,1,1
1315,1997,0,1
1317,1997,0,2
1318,1997,1,1
132,1989,0,1
1320,1997,0,1
1325,1997,0,1
1329,1997,0,1
1329,1998,0,1
1332,1997,0,1
1332,1998,0,3
1332,1999,0,1
1334,1997,0,1
1334,1998,0,3
1334,1999,0,2
1335,1996,0,1
1335,1997,0,2
1336,1994,0,1
1336,1997,0,1
1336,1998,0,1
1336,1999,0,1
1336,2001,0,1
1336,2011,0,3
1337,1997,0,4
1337,1998,0,3
134,1989,0,1
134,1990,0,2
1344,1997,0,1
1345,1997,0,1
1346,1997,0,1
1348,1997,0,1
135,1989,0,1
1350,1997,0,1
1351,1997,0,2
1354,1997,0,1
1357,1997,0,2
1358,1997,0,3
1358,1998,0,2
1362,1997,0,2
1364,1997,0,1
1364,2001,0,2
1364,2002,0,1
1364,2011,0,2
1364,2016,0,1
1364,2018,1,1
1369,1997,0,1
137,1989,0,1
1370,1997,0,1
138,1989,0,1
14,1989,0,1
1404,1998,0,3
141,1989,0,2
1410,1998,0,3
1414,1998,0,2
1417,1998,0,3
1418,1998,0,2
1420,1998,0,1
1422,1998,0,6
1424,1998,0,6
1426,1998,0,3
1429,1998,0,1
143,1990,0,1
143,1997,0,3
143,2006,0,1
1435,1998,0,2
1436,1998,0,1
1438,1998,0,3
1438,1999,0,1
144,1989,0,1
1442,1998,0,1
1445,1998,0,1
145,1989,0,1
1450,1998,0,2
1451,1998,0,2
1452,1998,0,2
1458,1998,0,2
1458,2002,0,1
1458,2006,0,1
1458,2010,0,2
1458,2011,0,5
1458,2016,0,1
1458,2018,0,2
146,1989,0,2
1461,1998,0,4
1461,1999,0,3
1466,1998,0,1
1469,1998,0,4
1469,1999,0,6
1470,1998,0,4
1470,1999,0,5
1470,2003,0,1
1472,1998,1,8
1472,1999,0,5
1473,1998,0,1
1479,1998,0,1
1488,1998,0,1
149,1989,0,1
1493,1998,0,1
1493,1999,0,2
1496,1998,0,1
1497,1998,0,1
15,1989,0,2
15,1990,0,2
