Title,Year,mean_group_size,n_observations,n_encounters
1284,1997,2,1,1
1284,1998,2,1,1
129,1989,3,1,1
129,1990,2,3,3
1291,1997,2,1,1
1292,1997,2.727272727272727,11,11
1293,1997,2.6666666666666665,3,3
1296,1997,2.6666666666666665,3,3
13,1989,3.2857142857142856,7,7
13,1990,4.428571428571429,14,14
1301,1997,3,1,1
1307,1997,2,5,5
1309,1997,2,1,1
131,1989,2.5,2,2
131,1995,4,1,1
131,1997,2.6666666666666665,3,3
131,1998,3.0652173913043477,46,46
131,1999,3.909090909090909,11,11
1311,1997,2,1,1
1313,1998,2.3,10,10
1313,2001,3.6,5,5
1313,2002,3.2,10,10
1313,2006,2,1,1
1315,1997,2,4,4
1317,1997,2.5,2,2
1317,2021,2,4,4
132,1989,2,1,1
1320,1997,2,1,1
1329,1997,2,1,1
1329,1998,4.5,2,2
1332,1997,2,3,3
1332,1998,2.3333333333333335,12,12
1332,1999,2,1,1
1334,1997,2,3,3
1334,1998,2.4166666666666665,12,12
1334,1999,2.6666666666666665,3,3
1335,1997,2,2,2
1336,1994,4.5,2,2
1336,1997,2.5,2,2
1336,1998,2,1,1
1336,1999,2,1,1
1336,2001,2,1,1
1336,2021,2,1,1
1337,1997,2.25,4,4
1337,1998,4.5,2,2
134,1989,2.5,2,2
134,1990,2.5,2,2
1344,1997,2,1,1
1345,1997,2,1,1
1348,1997,2,1,1
135,1989,3,1,1
1351,1997,2,2,2
1354,1997,2,1,1
1357,1997,2.3333333333333335,3,3
1358,1997,2.2,5,5
1364,1997,2.3333333333333335,3,3
1364,2001,2,3,3
1364,2002,2.25,4,4
1364,2010,2.5,2,2
1364,2016,2.5714285714285716,7,7
1369,1997,2,1,1
138,1989,3,1,1
14,1989,2,1,1
1404,1998,2.875,8,8
141,1989,3,3,3
1410,1998,2.5,4,4
1414,1998,3.8,5,5
1417,1998,3.375,8,8
1418,1998,2.8333333333333335,6,6
1420,1998,3,1,1
1422,1998,2.933333333333333,15,15
1424,1998,2.96,25,25
1426,1998,2,2,2
1429,1998,2,2,2
143,1990,2,1,1
143,1997,2,3,3
143,2006,3,1,1
1435,1998,3.6666666666666665,6,6
1436,1998,2.25,4,4
1438,1998,2.5,4,4
1438,1999,4,2,2
144,1989,3,1,1
1442,1998,3.5,4,4
1450,1998,2.2857142857142856,7,7
1451,1998,2.5,6,6
1458,1998,3,3,3
1458,2002,3,1,1
1458,2006,2,1,1
1458,2010,2,4,3
1458,2011,2,1,1
1458,2016,2.1,10,7
146,1989,3,2,2
1461,1998,3.4285714285714284,7,7
1461,1999,6,4,4
1469,1998,2,9,9
1469,1999,5,14,14
1470,1998,2,14,14
1470,1999,5.5,6,6
1470,2003,2.6666666666666665,3,3
1472,1998,2.736842105263158,19,19
1472,1999,3.888888888888889,9,9
1473,1998,2.5,2,2
1479,1998,2,1,1
1488,1998,3,1,1
149,1989,3,1,1
1493,1998,2,1,1
1493,1999,9,1,1
1496,1998,2,1,1
1497,1998,2,1,1
15,1989,6,2,2
15,1990,2,2,2
1500,1998,3,1,1
1501,1998,2.25,4,4
1503,1998,3,1,1
1504,1998,2,2,2
1505,1998,2,3,3
1507,1998,2.5,2,2
151,1989,2.3333333333333335,3,3
1510,1998,2.6,5,5
1512,1998,2.5,6,6
1512,2002,2,2,2
1513,1998,2.6666666666666665,3,3
1515,1998,4,1,1
152,1990,2.6153846153846154,13,13
153,1989,2.3333333333333335,3,3
153,1990,3,1,1
156,1989,2,4,4
156,1990,2,1,1
158,1990,2,1,1
159,1989,2.4,5,5
