Title,Sex.x,Age,Skinny,Date_Time,Year,Sex.y,Age_Class,Strength,Degree,Betweenness,Eigenvector
1022,FemaleJ,Adult,No,1997-06-12,1997,FemaleJ,Adult,3.42222222222222,9,0.031535514294135,0.0480551640857598
1022,FemaleJ,Adult,No,1997-08-13,1997,FemaleJ,Adult,3.42222222222222,9,0.031535514294135,0.0480551640857598
1022,FemaleJ,Adult,No,1997-08-20,1997,FemaleJ,Adult,3.42222222222222,9,0.031535514294135,0.0480551640857598
1022,FemaleJ,Adult,No,1999-08-11,1999,FemaleJ,Adult,1.66666666666667,2,0,0.0011646336494746
1023,NA,Calf,No,1996-06-10,1996,NA,Calf,1.9547619047619,6,5.3908355795148e-4,0.108850522567946
1023,NA,Calf,No,1996-06-19,1996,NA,Calf,1.9547619047619,6,5.3908355795148e-4,0.108850522567946
1025,FemaleJ,Adult,No,1996-06-10,1996,NA,NA,NA,NA,NA,NA
1025,FemaleJ,Adult,No,2018-08-16,2018,NA,NA,NA,NA,NA,NA
1030,NA,Adult,No,1996-06-10,1996,NA,Adult,1.35642135642136,5,0.0050314465408805,0.00142438457690031
1030,NA,Adult,No,1996-06-21,1996,NA,Adult,1.35642135642136,5,0.0050314465408805,0.00142438457690031
1030,NA,Adult,No,1996-06-22,1996,NA,Adult,1.35642135642136,5,0.0050314465408805,0.00142438457690031
1030,NA,Adult,No,1996-08-06,1996,NA,Adult,1.35642135642136,5,0.0050314465408805,0.00142438457690031
1030,NA,Adult,No,1996-08-10,1996,NA,Adult,1.35642135642136,5,0.0050314465408805,0.00142438457690031
1032,NA,Adult,No,1996-06-10,1996,NA,Adult,0.583333333333333,2,0,3.0425024537003e-4
104,NA,Adult,No,1989-08-10,1989,NA,Adult,3.83333333333333,5,0,0.292823698892431
104,NA,Adult,No,1990-07-06,1990,NA,Adult,6.83419913419913,23,0.100121982537237,0.410401534533753
104,NA,Adult,No,1990-07-07,1990,NA,Adult,6.83419913419913,23,0.100121982537237,0.410401534533753
104,NA,Adult,No,1990-07-14,1990,NA,Adult,6.83419913419913,23,0.100121982537237,0.410401534533753
104,NA,Adult,No,1990-07-28,1990,NA,Adult,6.83419913419913,23,0.100121982537237,0.410401534533753
104,NA,Adult,No,1990-07-29,1990,NA,Adult,6.83419913419913,23,0.100121982537237,0.410401534533753
104,NA,Adult,No,1990-08-05,1990,NA,Adult,6.83419913419913,23,0.100121982537237,0.410401534533753
1040,FemaleJ,Adult,No,1996-06-10,1996,FemaleJ,Adult,4.1952380952381,14,0.0675950883498053,0.397533441213127
1040,FemaleJ,Adult,No,1996-06-12,1996,FemaleJ,Adult,4.1952380952381,14,0.0675950883498053,0.397533441213127
1040,FemaleJ,Adult,No,1996-06-21,1996,FemaleJ,Adult,4.1952380952381,14,0.0675950883498053,0.397533441213127
1040,FemaleJ,Adult,No,1996-08-25,1996,FemaleJ,Adult,4.1952380952381,14,0.0675950883498053,0.397533441213127
1040,FemaleJ,Adult,No,1996-08-27,1996,FemaleJ,Adult,4.1952380952381,14,0.0675950883498053,0.397533441213127
1040,FemaleJ,Adult,No,1999-08-11,1999,FemaleJ,Adult,3.77150072150072,11,0.0894970760233918,0.0634052690904259
1040,FemaleJ,Adult,No,1999-08-17,1999,FemaleJ,Adult,3.77150072150072,11,0.0894970760233918,0.0634052690904259
1040,FemaleJ,Adult,No,1999-08-18,1999,FemaleJ,Adult,3.77150072150072,11,0.0894970760233918,0.0634052690904259
1040,FemaleJ,Adult,No,1999-08-21,1999,FemaleJ,Adult,3.77150072150072,11,0.0894970760233918,0.0634052690904259
1042,NA,Adult,No,1996-06-10,1996,NA,Adult,4.62698412698413,10,0.00907457322551662,0.0286881021191618
1042,NA,Adult,No,1996-06-12,1996,NA,Adult,4.62698412698413,10,0.00907457322551662,0.0286881021191618
1042,NA,Adult,No,1997-07-03,1997,NA,Adult,2,3,0,0.00572069988710125
1043,NA,Juvenile,No,1996-06-10,1996,NA,Juvenile,4.31666666666667,9,0.0141060197663971,0.0123056059472774
1043,NA,Juvenile,No,1996-06-12,1996,NA,Juvenile,4.31666666666667,9,0.0141060197663971,0.0123056059472774
1043,NA,Juvenile,No,1996-06-21,1996,NA,Juvenile,4.31666666666667,9,0.0141060197663971,0.0123056059472774
1045,FemaleJ,Adult,No,1996-06-12,1996,FemaleJ,Adult,3.75,7,0,0.00916606504236995
1046,FemaleJ,Adult,No,1996-06-12,1996,FemaleJ,Adult,3.53975468975469,13,0.191853848457622,0.0511913397411878
1046,FemaleJ,Adult,No,1996-06-21,1996,FemaleJ,Adult,3.53975468975469,13,0.191853848457622,0.0511913397411878
1046,FemaleJ,Adult,No,1996-08-05,1996,FemaleJ,Adult,3.53975468975469,13,0.191853848457622,0.0511913397411878
1046,FemaleJ,Adult,No,1996-08-21,1996,FemaleJ,Adult,3.53975468975469,13,0.191853848457622,0.0511913397411878
1046,FemaleJ,Adult,No,1996-08-25,1996,FemaleJ,Adult,3.53975468975469,13,0.191853848457622,0.0511913397411878
1046,FemaleJ,Adult,No,1997-07-03,1997,FemaleJ,Adult,2.56666666666667,5,0,0.199513383337897
1046,FemaleJ,Adult,No,1997-07-06,1997,FemaleJ,Adult,2.56666666666667,5,0,0.199513383337897
1047,NA,Adult,No,1996-06-17,1996,NA,Adult,0.25,1,0,2.3206165557089e-4
105,NA,Adult,No,1989-08-10,1989,NA,Adult,1.66666666666667,2,0,0.14501644756567
105,NA,Adult,No,1990-07-14,1990,NA,Adult,3.03809523809524,6,0,0.0702968779138352
1054,NA,Adult,No,1996-06-17,1996,NA,Adult,2.4,5,0,0.0774987928207862
1057,NA,Adult,No,1996-06-17,1996,NA,Adult,5.31904761904762,11,0,0.230674748767505
1058,FemaleJ,Adult,No,1996-06-17,1996,FemaleJ,Adult,4.78672438672439,13,0.00107816711590297,0.223584595228093
1058,FemaleJ,Adult,No,1996-06-18,1996,FemaleJ,Adult,4.78672438672439,13,0.00107816711590297,0.223584595228093
1058,FemaleJ,Adult,No,1996-06-19,1996,FemaleJ,Adult,4.78672438672439,13,0.00107816711590297,0.223584595228093
1058,FemaleJ,Adult,No,1996-06-20,1996,FemaleJ,Adult,4.78672438672439,13,0.00107816711590297,0.223584595228093
1058,FemaleJ,Adult,No,1996-06-23,1996,FemaleJ,Adult,4.78672438672439,13,0.00107816711590297,0.223584595228093
1059,NA,Adult,No,1996-06-17,1996,NA,Adult,5.15238095238095,11,0,0.239431984597137
106,FemaleJ,Adult,No,1989-08-10,1989,FemaleJ,Adult,8.28333333333333,15,0.0407386255473063,0.717568800836886
106,FemaleJ,Adult,No,1989-08-13,1989,FemaleJ,Adult,8.28333333333333,15,0.0407386255473063,0.717568800836886
106,FemaleJ,Adult,No,1990-07-16,1990,FemaleJ,Adult,2.83333333333333,4,0,0.0236474151175069
1062,FemaleJ,Adult,No,1996-06-17,1996,FemaleJ,Adult,7.4984126984127,16,0.00161725067385445,0.297765779448341
1062,FemaleJ,Adult,No,1996-06-18,1996,FemaleJ,Adult,7.4984126984127,16,0.00161725067385445,0.297765779448341
1062,FemaleJ,Adult,No,1996-06-19,1996,FemaleJ,Adult,7.4984126984127,16,0.00161725067385445,0.297765779448341
1062,FemaleJ,Adult,No,1996-06-20,1996,FemaleJ,Adult,7.4984126984127,16,0.00161725067385445,0.297765779448341
1063,NA,Adult,No,1996-06-10,1996,NA,Adult,8.73528138528139,21,0.0436058700209644,0.302226270482251
1063,NA,Adult,No,1996-06-17,1996,NA,Adult,8.73528138528139,21,0.0436058700209644,0.302226270482251
1063,NA,Adult,No,1996-06-18,1996,NA,Adult,8.73528138528139,21,0.0436058700209644,0.302226270482251
1063,NA,Adult,No,1996-06-19,1996,NA,Adult,8.73528138528139,21,0.0436058700209644,0.302226270482251
1063,NA,Adult,No,1996-06-22,1996,NA,Adult,8.73528138528139,21,0.0436058700209644,0.302226270482251
1063,NA,Adult,No,1996-06-23,1996,NA,Adult,8.73528138528139,21,0.0436058700209644,0.302226270482251
1063,NA,Adult,No,1997-08-16,1997,NA,Adult,3.18571428571429,6,0,0.0645596513936147
1066,NA,Adult,No,1996-06-18,1996,NA,Adult,1,1,0,0
1068,NA,Adult,No,1996-06-18,1996,NA,Adult,3,3,0,0.0162005510101728
1069,NA,Adult,No,1996-06-18,1996,NA,Adult,3,3,0,0.0162005510101728
1069,NA,Adult,No,1997-07-02,1997,NA,Adult,2.51904761904762,5,0.0216622458001768,0.0224036165947352
1069,NA,Adult,No,1997-07-03,1997,NA,Adult,2.51904761904762,5,0.0216622458001768,0.0224036165947352
1072,FemaleJ,Adult,No,1996-06-18,1996,FemaleJ,Adult,4.02301587301587,10,0,0.180214255171273
1072,FemaleJ,Adult,No,1996-06-19,1996,FemaleJ,Adult,4.02301587301587,10,0,0.180214255171273
1072,FemaleJ,Adult,No,1996-06-20,1996,FemaleJ,Adult,4.02301587301587,10,0,0.180214255171273
1081,NA,Adult,No,1996-06-19,1996,NA,Adult,4.35,10,0.00341419586702606,0.0938127960757151
1081,NA,Adult,No,1996-06-20,1996,NA,Adult,4.35,10,0.00341419586702606,0.0938127960757151
1093,NA,Juvenile,No,1996-06-22,1996,NA,Juvenile,1.66666666666667,3,0,0.0055199729702559
1094,FemaleJ,Adult,No,1996-06-10,1996,FemaleJ,Adult,3.66666666666667,9,0.0355795148247978,0.00954394727921716
1094,FemaleJ,Adult,No,1996-06-22,1996,FemaleJ,Adult,3.66666666666667,9,0.0355795148247978,0.00954394727921716
1094,FemaleJ,Adult,Yes,1996-08-23,1996,FemaleJ,Adult,3.66666666666667,9,0.0355795148247978,0.00954394727921716
1094,FemaleJ,Adult,No,1997-07-03,1997,FemaleJ,Adult,2.60238095238095,7,0.00685234305923961,0.190558450492094
1094,FemaleJ,Adult,No,1997-07-07,1997,FemaleJ,Adult,2.60238095238095,7,0.00685234305923961,0.190558450492094
1094,FemaleJ,Adult,No,1997-07-13,1997,FemaleJ,Adult,2.60238095238095,7,0.00685234305923961,0.190558450492094
1097,NA,Adult,No,1996-06-22,1996,NA,Adult,0.907936507936508,3,0,0.00373050552488095
1097,NA,Adult,No,1996-08-05,1996,NA,Adult,0.907936507936508,3,0,0.00373050552488095
1100,NA,Adult,No,1996-06-23,1996,NA,NA,NA,NA,NA,NA
1109,NA,Adult,No,1996-07-30,1996,NA,Adult,5.01904761904762,9,0.032345013477089,0.489188191278533
1109,NA,Adult,No,1996-08-27,1996,NA,Adult,5.01904761904762,9,0.032345013477089,0.489188191278533
111,NA,Adult,No,1989-08-10,1989,NA,Adult,2.83333333333333,4,0,0.269870930941113
