"Title","Sex","Age","Skinny","Date_Time"
"1254","FemaleJ","Adult","No",1997-07-03
"1255",NA,"Adult","No",1997-07-03
"1258","FemaleJ","Adult","No",1997-07-06
"1258","FemaleJ","Adult","No",1997-07-16
"1261",NA,"Adult","No",1997-07-06
"1264",NA,"Adult","No",1997-07-06
"1266",NA,"Adult","No",1997-07-06
"1267","FemaleJ","Adult","No",1997-07-06
"1267","FemaleJ","Adult","No",1997-08-12
"1267","FemaleJ","Adult","No",1997-08-16
"1267","FemaleJ","Adult","No",1997-08-20
"1267","FemaleJ","Adult","No",1997-08-24
"1267","FemaleJ","Adult","No",1997-08-25
"127",NA,"Adult","No",1989-08-11
"127",NA,"Adult","No",1997-08-13
"127",NA,"Adult","No",1999-07-22
"127",NA,"Adult","No",1999-07-24
"127",NA,"Adult","No",2002-08-18
"127",NA,"Adult","No",2002-08-22
"1270",NA,"Adult","No",1997-07-07
"1272",NA,"Juvenile","No",1997-07-07
"1272",NA,"Juvenile","No",1998-07-14
"1274",NA,"Calf","No",1997-07-13
"1275",NA,"Adult","No",1997-07-09
"1276","FemaleJ","Juvenile","No",1997-07-09
"1277",NA,"Adult","No",1997-07-09
"1280",NA,"Adult","No",1997-07-13
"1281",NA,"Adult","No",1997-07-13
"1284","FemaleJ","Juvenile","No",1997-07-13
"1284","FemaleJ","Juvenile","No",1997-07-16
"1284","FemaleJ","Juvenile","No",1998-07-22
"1285",NA,"Calf","No",1997-07-13
"129",NA,"Adult","No",1989-08-11
"129",NA,"Adult","No",1990-07-07
"1291",NA,"Juvenile","No",1997-07-16
"1292","Male","Adult","No",1997-07-31
"1292","Male","Adult","No",1997-08-13
"1292","Male","Adult","No",1997-08-18
"1292","Male","Adult","No",1997-08-25
"1293","Male","Adult","No",1997-07-31
"1296",NA,"Adult","No",1997-07-31
"1297",NA,"Adult","No",1997-07-31
"13",NA,"Adult","No",1989-07-24
"13",NA,"Adult","No",1990-07-27
"13",NA,"Adult","No",1990-07-28
"13",NA,"Adult","No",1990-07-29
"13",NA,"Adult","No",1990-08-08
"13",NA,"Adult","No",1990-08-09
"1301","FemaleJ","Adult","No",1997-07-31
"1307","FemaleJ","Adult","No",1997-08-12
"1307","FemaleJ","Adult","No",1997-08-20
