"Title","Sex","Age","Skinny","Date_Time","Year"
"1020","FemaleJ","Adult","No",1997-07-02,1997
"1020","FemaleJ","Adult","No",1997-07-03,1997
"1020","FemaleJ","Adult","No",1997-08-13,1997
"1020","FemaleJ","Adult","No",1997-08-20,1997
"1020","FemaleJ","Adult","No",1997-08-25,1997
"1022","FemaleJ","Adult","No",1996-06-10,1996
"1022","FemaleJ","Adult","No",1996-06-12,1996
"1022","FemaleJ","Adult","No",1996-06-21,1996
"1022","FemaleJ","Adult","No",1997-06-12,1997
"1022","FemaleJ","Adult","No",1997-08-13,1997
"1022","FemaleJ","Adult","No",1997-08-20,1997
"1022","FemaleJ","Adult","No",1999-08-11,1999
"1023",NA,"Calf","No",1996-06-10,1996
"1023",NA,"Calf","No",1996-06-19,1996
"1025","FemaleJ","Adult","No",1996-06-10,1996
"1025","FemaleJ","Adult","No",2018-08-16,2018
"1030",NA,"Adult","No",1996-06-10,1996
"1030",NA,"Adult","No",1996-06-21,1996
"1030",NA,"Adult","No",1996-06-22,1996
"1030",NA,"Adult","No",1996-08-06,1996
"1030",NA,"Adult","No",1996-08-10,1996
"1032",NA,"Adult","No",1996-06-10,1996
"104",NA,"Adult","No",1989-08-10,1989
"104",NA,"Adult","No",1990-07-06,1990
"104",NA,"Adult","No",1990-07-07,1990
"104",NA,"Adult","No",1990-07-14,1990
"104",NA,"Adult","No",1990-07-28,1990
"104",NA,"Adult","No",1990-07-29,1990
"104",NA,"Adult","No",1990-08-05,1990
"1040","FemaleJ","Adult","No",1996-06-10,1996
"1040","FemaleJ","Adult","No",1996-06-12,1996
"1040","FemaleJ","Adult","No",1996-06-21,1996
"1040","FemaleJ","Adult","No",1996-08-25,1996
"1040","FemaleJ","Adult","No",1996-08-27,1996
"1040","FemaleJ","Adult","No",1999-08-11,1999
"1040","FemaleJ","Adult","No",1999-08-17,1999
"1040","FemaleJ","Adult","No",1999-08-18,1999
"1040","FemaleJ","Adult","No",1999-08-21,1999
"1042",NA,"Adult","No",1996-06-10,1996
"1042",NA,"Adult","No",1996-06-12,1996
"1042",NA,"Adult","No",1997-07-03,1997
"1043",NA,"Juvenile","No",1996-06-10,1996
"1043",NA,"Juvenile","No",1996-06-12,1996
"1043",NA,"Juvenile","No",1996-06-21,1996
"1045","FemaleJ","Adult","No",1996-06-12,1996
"1046","FemaleJ","Adult","No",1996-06-12,1996
"1046","FemaleJ","Adult","No",1996-06-21,1996
"1046","FemaleJ","Adult","No",1996-08-05,1996
"1046","FemaleJ","Adult","No",1996-08-21,1996
"1046","FemaleJ","Adult","No",1996-08-25,1996
"1046","FemaleJ","Adult","No",1997-07-03,1997
"1046","FemaleJ","Adult","No",1997-07-06,1997
"1047",NA,"Adult","No",1996-06-17,1996
"105",NA,"Adult","No",1989-08-10,1989
"105",NA,"Adult","No",1990-07-14,1990
"1054",NA,"Adult","No",1996-06-17,1996
"1057",NA,"Adult","No",1996-06-17,1996
"1058","FemaleJ","Adult","No",1996-06-17,1996
"1058","FemaleJ","Adult","No",1996-06-18,1996
"1058","FemaleJ","Adult","No",1996-06-19,1996
"1058","FemaleJ","Adult","No",1996-06-20,1996
"1058","FemaleJ","Adult","No",1996-06-23,1996
"1059",NA,"Adult","No",1996-06-17,1996
"106","FemaleJ","Adult","No",1989-08-10,1989
"106","FemaleJ","Adult","No",1989-08-13,1989
"106","FemaleJ","Adult","No",1990-07-16,1990
"1062","FemaleJ","Adult","No",1996-06-17,1996
"1062","FemaleJ","Adult","No",1996-06-18,1996
"1062","FemaleJ","Adult","No",1996-06-19,1996
"1062","FemaleJ","Adult","No",1996-06-20,1996
"1063",NA,"Adult","No",1996-06-10,1996
"1063",NA,"Adult","No",1996-06-17,1996
"1063",NA,"Adult","No",1996-06-18,1996
"1063",NA,"Adult","No",1996-06-19,1996
"1063",NA,"Adult","No",1996-06-22,1996
"1063",NA,"Adult","No",1996-06-23,1996
"1063",NA,"Adult","No",1997-08-16,1997
"1066",NA,"Adult","No",1996-06-18,1996
"1068",NA,"Adult","No",1996-06-18,1996
"1069",NA,"Adult","No",1996-06-18,1996
"1069",NA,"Adult","No",1997-07-02,1997
"1069",NA,"Adult","No",1997-07-03,1997
"1072","FemaleJ","Adult","No",1996-06-18,1996
"1072","FemaleJ","Adult","No",1996-06-19,1996
"1072","FemaleJ","Adult","No",1996-06-20,1996
"1081",NA,"Adult","No",1996-06-19,1996
"1081",NA,"Adult","No",1996-06-20,1996
"1093",NA,"Juvenile","No",1996-06-22,1996
"1094","FemaleJ","Adult","No",1996-06-10,1996
"1094","FemaleJ","Adult","No",1996-06-22,1996
"1094","FemaleJ","Adult","Yes",1996-08-23,1996
"1094","FemaleJ","Adult","No",1997-07-03,1997
"1094","FemaleJ","Adult","No",1997-07-07,1997
"1094","FemaleJ","Adult","No",1997-07-13,1997
"1097",NA,"Adult","No",1996-06-22,1996
"1097",NA,"Adult","No",1996-08-05,1996
"1100",NA,"Adult","No",1996-06-23,1996
"1109",NA,"Adult","No",1996-07-30,1996
"1109",NA,"Adult","No",1996-08-27,1996
"111",NA,"Adult","No",1989-08-10,1989
"1110",NA,"Adult","No",1996-07-30,1996
"1114","Male","Adult","No",1996-08-01,1996
"1114","Male","Adult","No",1996-08-06,1996
"1114","Male","Adult","No",1996-08-22,1996
"1114","Male","Adult","No",1996-08-27,1996
"1114","Male","Adult","No",1997-06-09,1997
"1114","Male","Adult","No",1997-06-17,1997
"1114","Male","Adult","No",1999-08-21,1999
"1114","Male","Adult","No",2008-09-03,2008
"1114","Male","Adult","No",2018-03-16,2018
