"Year","Title","Sex","Age_Class","Strength","Degree","Betweenness","Eigenvector"
"2013","102","Male","Adult",0.619047619047619,2,0,0.0259000268583305
"2015","102","Male","Adult",4.23333333333333,6,0,0.0414396178941986
"2016","102","Male","Adult",8.25266955266955,31,0.175728221030234,0.0918356963216964
"2017","102","Male","Adult",9,9,0,0.70768561746384
"2019","102","Male","Adult",2.2,5,0.000446405869746831,0.00036116931680504
"1996","1020","FemaleJ","Adult",3.18333333333333,7,0,0.00725219088169067
"1997","1020","FemaleJ","Adult",3.90165945165945,13,0.189655172413793,0.0380946243526882
"1996","1022","FemaleJ","Adult",3.18333333333333,7,0,0.00725219088169068
"1997","1022","FemaleJ","Adult",3.42222222222222,9,0.031535514294135,0.0480551640857598
"1999","1022","FemaleJ","Adult",1.66666666666667,2,0,0.0011646336494746
"1996","1023",NA,"Calf",1.9547619047619,6,0.000539083557951483,0.108850522567946
"2010","1025","FemaleJ","Adult",3.16666666666667,4,0.0256410256410256,0.0001406557893224
"1996","1030",NA,"Adult",1.35642135642136,5,0.0050314465408805,0.00142438457690031
"1996","1032",NA,"Adult",0.583333333333333,2,0,0.000304250245370035
"1989","104",NA,"Adult",3.83333333333333,5,0,0.292823698892431
"1990","104",NA,"Adult",6.83419913419913,23,0.100121982537237,0.410401534533753
"1996","1040","FemaleJ","Adult",4.1952380952381,14,0.0675950883498053,0.397533441213127
"1999","1040","FemaleJ","Adult",3.77150072150072,11,0.0894970760233918,0.0634052690904259
"1996","1042",NA,"Adult",4.62698412698413,10,0.00907457322551662,0.0286881021191618
"1997","1042",NA,"Adult",2,3,0,0.00572069988710125
"1996","1043",NA,"Juvenile",4.31666666666667,9,0.0141060197663971,0.0123056059472774
"1996","1045","FemaleJ","Adult",3.75,7,0,0.00916606504236995
"1996","1046","FemaleJ","Adult",3.53975468975469,13,0.191853848457622,0.0511913397411878
"1997","1046","FemaleJ","Adult",2.56666666666667,5,0,0.199513383337897
"1996","1047",NA,"Adult",0.25,1,0,0.000232061655570898
"1989","105",NA,"Adult",1.66666666666667,2,0,0.14501644756567
"1990","105",NA,"Adult",3.03809523809524,6,0,0.0702968779138352
"1996","1054",NA,"Adult",2.4,5,0,0.0774987928207862
"1996","1057",NA,"Adult",5.31904761904762,11,0,0.230674748767505
"1996","1058","FemaleJ","Adult",4.78672438672439,13,0.00107816711590297,0.223584595228093
"1996","1059",NA,"Adult",5.15238095238095,11,0,0.239431984597137
"1989","106","FemaleJ","Adult",8.28333333333333,15,0.0407386255473063,0.717568800836886
"1990","106","FemaleJ","Adult",2.83333333333333,4,0,0.0236474151175069
"1996","1062","FemaleJ","Adult",7.4984126984127,16,0.00161725067385445,0.297765779448341
"1996","1063",NA,"Adult",8.73528138528139,21,0.0436058700209644,0.302226270482251
"1997","1063",NA,"Adult",3.18571428571429,6,0,0.0645596513936147
"1996","1066",NA,"Adult",1,1,0,0
"1996","1068",NA,"Adult",3,3,0,0.0162005510101728
"1996","1069",NA,"Adult",3,3,0,0.0162005510101728
"1997","1069",NA,"Adult",2.51904761904762,5,0.0216622458001768,0.0224036165947352
"1996","1072","FemaleJ","Adult",4.02301587301587,10,0,0.180214255171273
"1996","1081",NA,"Adult",4.35,10,0.00341419586702606,0.0938127960757151
"1996","1093",NA,"Juvenile",1.66666666666667,3,0,0.0055199729702559
"1996","1094","FemaleJ","Adult",3.66666666666667,9,0.0355795148247978,0.00954394727921716
"1997","1094","FemaleJ","Adult",2.60238095238095,7,0.00685234305923961,0.190558450492094
"1996","1097",NA,"Adult",0.907936507936508,3,0,0.00373050552488095
"1996","1109",NA,"Adult",5.01904761904762,9,0.032345013477089,0.489188191278533
"1989","111",NA,"Adult",2.83333333333333,4,0,0.269870930941113
"1996","1110",NA,"Adult",1.66666666666667,2,0,0.0584753366240389
"1996","1114","Male","Adult",1.80555555555556,6,0.0522012578616352,0.0257984883267184
"1997","1114","Male","Adult",0.5,1,0,0.000871815557393354
"1999","1114","Male","Adult",4.66666666666667,6,0,0.394879180654731
"2008","1114","Male","Adult",3,3,0,1
"1996","1116",NA,"Adult",2.73333333333333,4,0,0.0167973041230093
"1996","1121",NA,"Adult",7.15238095238095,16,0.0429469901168014,0.610778228102325
"1996","1124",NA,"Adult",0.333333333333333,1,0,0.00259440511065263
"1996","1126","FemaleJ","Adult",0.733333333333333,2,0,0.0148264499763771
"1996","1134","Male","Adult",0.9,2,0,0.00259169097627187
"1996","1136",NA,"Juvenile",1.83333333333333,3,0,0.00101897833164542
"1996","1140",NA,"Adult",4.66666666666667,8,0,0.381307756301788
"1996","1142",NA,"Adult",11.3571428571429,20,0.0395627433363282,1
"1997","1146",NA,"Adult",5.32222222222222,11,0.00331564986737401,0.0913937927096675
"1998","1146",NA,"Adult",6.40138532777852,24,0.00644257703081232,0.595474578499329
"1999","1146",NA,"Adult",0.5,1,0,0.0161258359594052
"1996","1147","FemaleJ","Adult",8.56666666666667,13,0,0.958284798915739
"1997","1147","FemaleJ","Adult",3.06666666666667,4,0,0.178400709322484
"1998","1147","FemaleJ","Adult",0.714285714285714,2,0,0.0227109519530951
"1999","1147","FemaleJ","Adult",10.2651515151515,29,0.0401754385964912,0.407289060208469
"2006","1147","FemaleJ","Adult",4.11904761904762,7,0.0988505747126437,0.0500631305058962
"2010","1147","FemaleJ","Adult",5.33982683982684,16,0.00798764727336156,0.206021783009475
"2015","1147","FemaleJ","Adult",1.66666666666667,2,0,0.00134076540713056
"1996","1148",NA,"Adult",9.05714285714286,17,0.0249176400119796,0.900635300762821
"1989","115",NA,"Adult",5.85238095238095,9,0,0.62925267442947
"1990","115",NA,"Adult",2.09848484848485,6,0,0.126477795334046
"1996","1152",NA,"Adult",2,2,0,0
"1996","1153",NA,"Adult",2,2,0,0
"1996","1155","FemaleJ","Adult",6.5,9,0,0.832055751078106
"1998","1155","FemaleJ","Adult",4.90226728895459,24,0.128851540616246,0.593554789830372
"1996","1158",NA,"Adult",7.16666666666667,10,0,0.873242105566369
"1989","116",NA,"Adult",2.16666666666667,3,0,0.297012349935432
"1996","1160",NA,"Adult",6.5,9,0,0.832055751078106
"1996","1163","FemaleJ","Juvenile",7.66666666666667,11,0,0.915400405660877
"1996","1168",NA,"Adult",1.8,3,0,0.0499749123302744
"1996","1173","Male","Adult",2.66666666666667,4,0.000539083557951483,0
"2001","1173","Male","Adult",10,11,5.13610683102209e-05,0.893344469774421
"1996","1174","FemaleJ","Adult",2.66666666666667,3,0,3.34614576278551e-18
"1996","1176",NA,"Adult",2.16666666666667,3,0,0.0400519384874935
"1996","1179","Male","Adult",2.16666666666667,3,0,0.0400519384874935
"1989","118","Male","Adult",4.11904761904762,6,0,0.489048489676761
"1998","118","Male","Adult",4.04308191808192,12,0.00854341736694678,0.377519810114613
"1996","1185",NA,"Adult",3.75,7,0,0.00916606504236995
"1989","119",NA,"Adult",6.18571428571429,9,0,0.661336281145824
"1996","1190",NA,NA,0.666666666666667,1,0,0
"1989","120","Male","Adult",4.11904761904762,6,0,0.489048489676761
"1996","120","Male","Adult",3.61904761904762,10,0.0726265348906858,0.0569309915077509
"1997","120","Male","Adult",2.5,3,0,0.130257775502873
"1999","120","Male","Adult",5.46904761904762,11,0.00105263157894737,0.107689960311903
"2002","120","Male","Adult",2.76825396825397,7,0.0401644157369348,0.00064913234698676
"2003","120","Male","Adult",3.83333333333333,6,0.0188652073732719,0.376955809593977
"2006","120","Male","Adult",1,1,0,0
"2010","120","Male","Adult",4.73333333333333,7,0,0.17170880935772
"2013","120","Male","Adult",5.4,9,0,0.789939959065469
"1997","1205",NA,"Adult",0.9,2,0,0.0209653615052352
"1997","1217",NA,"Adult",7.26904761904762,17,0.0401193633952255,0.83359498566404
"1997","1219",NA,"Adult",4.83333333333333,7,0,0.933717074480388
"1997","1220",NA,"Adult",7.19126984126984,17,0.0984748010610079,0.867724519917357
"1997","1221",NA,"Adult",4.2,8,0.0002210433244916,0.789075843194038
"1997","1227",NA,"Adult",1.83333333333333,3,0,0.301121775069729
"1997","1233",NA,"Adult",1.9,3,0,0.0269827534879772
"1997","1234",NA,"Adult",1.9,3,0,0.0269827534879773
"1997","1237",NA,"Adult",1.4,3,0,0.0266067351850277
"1997","1239","FemaleJ","Juvenile",3.27380952380952,9,0.00294724432655467,0.0901827156058275
"1998","1239","FemaleJ","Juvenile",2.74169719169719,10,0.0206816059757236,0.0911391640632163
"1989","124","Male","Adult",1.63333333333333,4,0,0.199225203873936
"1994","124","Male","Adult",2.16666666666667,3,0,3.60096223495855e-17
"1996","124","Male","Adult",5.09920634920635,16,0.107876609763402,0.220912788892992
"1997","124","Male","Adult",2.4,4,0.0324196875921014,0.0118727794854246
"2002","124","Male","Adult",2.63333333333333,6,0.189665296535526,0.0155226175512828
"1997","1247",NA,"Adult",2.66666666666667,4,0,0.00856125247821087
"1997","1248",NA,"Adult",3.73809523809524,6,0.0162098437960507,0.0108501604014805
"1997","1249",NA,"Adult",1.66666666666667,2,0,0.00352235577222271
"1997","1251",NA,"Adult",2,3,0,0.00572069988710124
"1997","1253","FemaleJ","Adult",2.56666666666667,5,0,0.199513383337897
"1998","1253","FemaleJ","Adult",1,1,0,0
"1997","1254","FemaleJ","Adult",1,1,0,6.6790948487533e-17
"1997","1255",NA,"Adult",1,1,0,5.58737604591145e-17
"1997","1258","FemaleJ","Adult",5.71666666666667,10,0.0562186855290304,0.364677037861786
"1997","1261",NA,"Adult",3.16666666666667,5,0,0.241592480472425
"1997","1264",NA,"Adult",2.45238095238095,4,0,0.208645039451517
"1997","1266",NA,"Adult",2.45238095238095,4,0,0.208645039451517
"1997","1267","FemaleJ","Adult",6.28674658674659,22,0.371205422929561,0.174879795948883
"1989","127",NA,"Adult",3,3,0.000380734818199124,2.31084044181455e-17
"1999","127",NA,"Adult",1.35238095238095,4,0,0.0479332055064842
"2002","127",NA,"Adult",7.5,12,0.0572339662034318,0.149015441268191
"1997","1270",NA,"Adult",1.73333333333333,3,0,0.012582167425027
"1997","1272",NA,"Juvenile",1.73333333333333,3,0,0.012582167425027
"1998","1272",NA,"Juvenile",1,1,0,0
"1997","1274",NA,"Calf",1,2,0,0.00915830276734945
"1997","1275",NA,"Adult",2.8,4,0,0.0325004586066773
"1997","1276","FemaleJ","Juvenile",1.8,3,0,0.0274881484554145
"1997","1277",NA,"Adult",1.8,3,0,0.0274881484554145
"1997","1280",NA,"Adult",2.23333333333333,5,0,0.239456878494834
"1997","1281",NA,"Adult",1.4,3,0,0.131060943325485
"1997","1284","FemaleJ","Juvenile",2.28571428571429,4,0.0636604774535809,0.00861827209674861
"1998","1284","FemaleJ","Juvenile",0.4,1,0,0.0542471356096691
"1989","129",NA,"Adult",2,2,0,0
"1990","129",NA,"Adult",2.48571428571429,5,0,0.0195050073246282
"1997","1291",NA,"Juvenile",1.66666666666667,2,0,0.00166699690269695
"1997","1292","Male","Adult",5.31118326118326,16,0.0660182729148246,0.170498797231418
"1997","1293","Male","Adult",5.88333333333333,10,0,0.132483462294481
"1997","1296",NA,"Adult",4.88333333333333,9,0,0.121011018300025
"1997","1297",NA,"Adult",3.3,5,0,0.0927059603389412
"1989","13",NA,"Adult",8.35238095238095,12,0.000190367409099562,1
"1990","13",NA,"Adult",6.69047619047619,19,0.0563933829823661,0.615397023849179
"1997","1301","FemaleJ","Adult",2.15,4,0,0.0629163467840448
"1997","1307","FemaleJ","Adult",5.04603174603175,11,0,0.094550923078621
"1997","1309",NA,"Adult",2.20238095238095,4,0,0.0434263752047891
"1989","131","FemaleJ","Adult",1.66666666666667,2,0,2.6701653915246e-17
"1995","131","FemaleJ","Adult",4,4,0,0
"1997","131","FemaleJ","Adult",5.32222222222222,11,0.00331564986737401,0.0913937927096675
"1998","131","FemaleJ","Adult",7.26616894457452,31,0.152357609710551,0.616429165501711
"1999","131","FemaleJ","Adult",7.00238095238095,20,0.00140350877192982,0.213690038343919
"1997","1311",NA,"Adult",0.952380952380952,2,0.0163572060123784,0.00248213162600083
"1997","1313","FemaleJ","Adult",0.666666666666667,1,0,0.000369024827977961
"1998","1313","FemaleJ","Adult",1.1969696969697,4,0,0.0343492870301211
"2001","1313","FemaleJ","Adult",8.83333333333333,13,0.0227683615819209,0
"2002","1313","FemaleJ","Adult",6.68571428571429,13,0.0431950153324199,0.0155784048185139
"2006","1313","FemaleJ","Adult",4,4,0,0.94901136777688
"2011","1313","FemaleJ","Adult",1.66666666666667,2,0,7.97476958563644e-05
"1997","1315","FemaleJ","Adult",3.73333333333333,5,0,0.18986729540471
"1997","1317",NA,"Adult",4.26904761904762,9,0.00589448865310934,0.0943263318688282
"2021","1317",NA,"Adult",4.35714285714286,9,0.00137741046831956,0.161422714338638
"1989","132",NA,"Adult",1,1,0,0
"1997","1320",NA,"Adult",3.06666666666667,4,0,0.178400709322484
"1997","1329","FemaleJ","Adult",1.16666666666667,2,0,0.0132916259851329
"1998","1329","FemaleJ","Adult",3.91666666666667,7,0,0.275795609607793
"1997","1332","FemaleJ","Adult",1.66666666666667,2,0,0.0022717842815993
"1998","1332","FemaleJ","Adult",2.31272061272061,9,0.00196078431372549,0.130789249004708
"1999","1332","FemaleJ","Adult",0.4,1,0,0.00577556338837582
"1997","1334","FemaleJ","Juvenile",1.66666666666667,2,0,0.00227178428159931
"1998","1334","FemaleJ","Juvenile",2.26510156510157,9,0.000280112044817927,0.130017978649706
"1999","1334","FemaleJ","Adult",2.4,4,0.0505263157894737,0.00876191979616817
"1996","1335",NA,"Adult",0.666666666666667,1,0,0
"1997","1335",NA,"Adult",3.44444444444444,6,0,0.0826383975594981
"1994","1336","FemaleJ","Adult",8.13333333333333,10,0,0.762700924988572
"1997","1336","FemaleJ","Adult",3.85238095238095,7,0,0.0820981029085029
"1998","1336","FemaleJ","Adult",2.58181818181818,7,0,0.194559025697882
"1999","1336","FemaleJ","Adult",1.33333333333333,2,0,0.0939551649228709
"2001","1336","FemaleJ","Adult",3.33333333333333,4,0,0
"2011","1336","FemaleJ","Adult",4.86839826839827,14,0.00221789801853828,0.00257070259782431
"2019","1336","FemaleJ","Adult",3,5,0,0.00883159859769703
"2021","1336","FemaleJ","Adult",2.2,4,0,0.0669706354903952
"1997","1337","FemaleJ","Adult",6.52698412698413,18,0.0823754789272031,0.106948115715132
"1998","1337","FemaleJ","Adult",5.02051282051282,12,0.0178571428571429,0.305236819728419
"1989","134",NA,"Adult",1.66666666666667,2,0,3.25033507629826e-17
"1990","134",NA,"Adult",2.23333333333333,4,0.0102722136620442,0.0133037602897202
"1997","1344","FemaleJ","Adult",2,2,0,1.49194762923679e-17
"1997","1345","Male","Adult",2,2,0,4.07322426573116e-17
"1997","1346","FemaleJ","Adult",2,2,0,3.29136485031463e-17
"1997","1348",NA,"Adult",2.66666666666667,3,0,0.00928014046071181
"1989","135",NA,"Adult",2.66666666666667,3,0,0.0426231827967479
"1997","1350",NA,"Adult",0.5,1,0,0.00535836268948333
"1997","1351","FemaleJ","Adult",4.12142857142857,9,0.00147362216327734,0.0788644599589652
"1997","1354",NA,"Adult",1.66666666666667,3,0,0.0198051951596095
"1997","1357","FemaleJ","Adult",2.8,5,0,0.0428503495115596
"1997","1358","FemaleJ","Adult",3.07142857142857,7,0.00545240200412614,0.0416076300187991
"1998","1358","FemaleJ","Adult",1.7,4,0,0.0465226865101972
"1997","1362","FemaleJ","Adult",2.06666666666667,5,0,0.0348574103343242
"1997","1364","FemaleJ","Adult",2.95238095238095,5,0,0.0375803775200645
"2001","1364","FemaleJ","Adult",3,3,0,0
"2002","1364","FemaleJ","Adult",4.06666666666667,5,0.0147974163241339,0.000930145081794206
"2010","1364","FemaleJ","Adult",8.97936507936508,18,0,0.755944935563618
"2011","1364","FemaleJ","Adult",12.5666666666667,22,0.000357073582232078,0.376509527404581
"2016","1364","FemaleJ","Adult",19.7761904761905,36,0,0.988687405846328
"1997","1369",NA,"Adult",2.61904761904762,4,0,0.0352649302809119
"1989","137",NA,"Adult",1.66666666666667,2,0,0.0193739812893862
"1997","1370",NA,NA,2.61904761904762,4,0,0.0352649302809119
"1989","138",NA,"Adult",2,2,0,4.32305855264591e-18
"1989","14",NA,"Adult",0.666666666666667,1,0,0.0681442977801884
"1998","1404","FemaleJ","Adult",3.44189144189144,9,0,0.266110019864937
"1989","141",NA,"Adult",4.28333333333333,9,0.0524462212069294,0.218229734436013
"1998","1410",NA,"Juvenile",3.41515151515152,8,0.00868347338935574,0.244700952286332
"1998","1414","FemaleJ","Adult",3.27380952380952,11,0,0.309899637225817
"1998","1417","FemaleJ","Adult",6.36899766899767,15,0.0329131652661064,0.36284224398838
"1998","1418","FemaleJ","Adult",4.81748251748252,12,0,0.828440147415542
"1998","1420",NA,"Adult",1.75,4,0,0.113400192900987
"1998","1422","FemaleJ","Adult",4.73525445143092,16,0.00252100840336134,0.401135232167059
"1998","1424","Male","Adult",5.01977189477189,16,0.0103641456582633,0.443107440959385
"1998","1426",NA,"Adult",1.75,5,0,0.134510628787236
"1998","1429",NA,"Juvenile",1,1,0,0
"1990","143",NA,"Adult",2,2,0,5.81138155219038e-17
"1997","143",NA,"Adult",1.71904761904762,5,0,0.0328900098492863
"2006","143",NA,"Adult",4,4,0,0.94901136777688
"1998","1435",NA,"Adult",6.54677544677545,15,0.0050186741363212,0.393365798577077
"1998","1436",NA,"Juvenile",4.16666666666667,6,0,0.265412102082677
"1998","1438",NA,"Adult",4.51666666666667,12,0.0046218487394958,0.292861561969163
"1999","1438",NA,"Adult",3.66666666666667,4,0,0.113777771066969
"1989","144",NA,"Adult",2.85238095238095,5,0,0.209908295995933
"1998","1442",NA,"Adult",5.41666666666667,9,0,0.344332879781028
"1989","145",NA,"Juvenile",2.85238095238095,5,0,0.209908295995933
"1998","1450","FemaleJ","Adult",3.94848484848485,8,0.0225957049486461,0.177499108123964
"1998","1451","FemaleJ","Adult",4.44848484848485,8,0.000186741363211951,0.182648635202161
"1998","1452","FemaleJ","Adult",1.5,2,0,0.0582688482175658
"1998","1458","Male","Adult",3.18162393162393,9,0,0.24976904262356
"2002","1458","Male","Adult",7.33333333333333,9,0,0.166079136626082
"2006","1458","Male","Adult",0.666666666666667,1,0,0.0498681247495052
"2010","1458","Male","Adult",5.62380952380952,11,0,0.152588503325559
"2011","1458","Male","Adult",6.38700743700744,22,0.005260184545854,0.00302283930403524
"2016","1458","Male","Adult",9.78333333333333,30,0.000408126247052422,0.115669300528086
"1989","146",NA,"Adult",4.31666666666667,8,0.068424392410686,0.191953608819173
"1998","1461","Male","Adult",1.54848484848485,6,0,0.118505481618088
"1999","1461","Male","Adult",4.07619047619048,8,0,0.105001159242524
"1998","1466","FemaleJ","Juvenile",1.83333333333333,3,0,0.0580955084545051
"1998","1469","FemaleJ","Adult",1.20238095238095,3,0,0.0257013555680416
"1999","1469","FemaleJ","Adult",8.35634920634921,26,0.0869122807017544,0.376539415074276
"1998","1470","FemaleJ","Adult",2.06257631257631,7,0,0.0668458053916421
"1999","1470","FemaleJ","Adult",6.21870906870907,19,0.0262573099415205,0.303913284841157
"2003","1470","FemaleJ","Adult",7,7,0.00604838709677419,1.80724707403525e-17
"1998","1472",NA,"Adult",3.21684961065766,17,0.0715686274509804,0.194559481046644
"1999","1472",NA,"Adult",6.57395382395382,23,0.122543859649123,0.510938813488053
"1998","1473",NA,"Adult",1.75555555555556,4,0,0.085650246955179
"1998","1479",NA,"Adult",0.25,1,0,0.0154138350097985
"1998","1488",NA,"Adult",0.75,2,0,0.0424079800896124
"1989","149",NA,"Adult",1.66666666666667,3,0,0.0268894218931693
"1998","1493",NA,"Adult",0.4,1,0,0.0126158768892053
"1999","1493",NA,"Adult",4.93571428571429,9,0,0.688792797335312
"1998","1496",NA,"Adult",1.5,2,0,0.0909883743503062
"1998","1497",NA,"Adult",1.5,2,0,0.0909883743503062
"1989","15","Male","Adult",4.65,9,0.00200837616600038,0.51866115638064
"1990","15","Male","Adult",1,1,0,0.0140848836356495
"1998","1500",NA,"Adult",1.73333333333333,4,0,0.0309280566255045
"1998","1501",NA,"Adult",4.61748251748252,13,0,0.72556068531116
"1998","1503",NA,"Adult",0.366666666666667,2,0,0.042384668426635
"1998","1504",NA,"Adult",1.66666666666667,2,0,0.0500664320395287
"1998","1505",NA,"Adult",1.66666666666667,2,0,0.0500664320395287
"1998","1507","FemaleJ","Adult",3.15314685314685,7,0,0.247383119037214
"1989","151","FemaleJ","Adult",3,3,0,0.0179692739376813
"1998","1510","FemaleJ","Adult",4.59427239427239,12,0,0.700323368983656
"1998","1512","FemaleJ","Adult",5.78181818181818,10,0,0.999999999999999
"2002","1512","FemaleJ","Adult",9.5,11,0,0.863811993103747
"1998","1513",NA,"Adult",5.78181818181818,10,0,1
"1998","1515",NA,NA,5.11515151515152,9,0,0.914504473426717
"1989","152","FemaleJ","Adult",2.95238095238095,4,0.00418808300019037,0.0450103925708113
"1990","152","FemaleJ","Adult",4.5510101010101,17,0.117263739085773,0.117685842932639
"1989","153","FemaleJ","Juvenile",3.66666666666667,5,0,0.111984814117775
"1990","153","FemaleJ","Juvenile",0.916666666666667,2,0,0.00296437468265641
"1989","156",NA,"Adult",4.66666666666667,5,0.00505742750174503,0.0238997805047125
"1990","156",NA,"Adult",2.83333333333333,4,0,0.0236474151175069
"1990","158",NA,"Adult",1.16666666666667,2,0,0.00306785180373246
"1989","159","FemaleJ","Adult",6.66666666666667,7,0.044057364045942,0.0536922173608066
"1996","159","FemaleJ","Adult",1.56666666666667,3,0,0.000839942337025563
"1997","159","FemaleJ","Adult",3.31349206349206,10,0.0257147067491895,0.0378565776826353
"1998","159","FemaleJ","Adult",0.285714285714286,1,0,0.0056087152311025
"1990","16","Male","Adult",6.58571428571429,11,0,0.122593426862141
"2001","16","Male","Adult",3.66666666666667,4,0.00152542372881356,0.184521445720553
"2002","16","Male","Adult",2.7,4,0,0.156273782212911
"2010","16","Male","Adult",4.55,10,0.0254190254190254,0.181291957902118
"2011","16","Male","Adult",6.45961260961261,20,0.009958571338899,0.00256366488154343
"1999","1602","FemaleJ","Adult",2.53333333333333,5,0,0.0319164873805346
"1999","1605",NA,"Juvenile",4.45238095238095,6,0,0.147033272346951
"1999","1618",NA,"Adult",5.80793650793651,16,0,0.251445973256366
"1989","162","FemaleJ","Adult",3,3,0,0.0179692739376813
"1994","162","FemaleJ","Adult",2.66666666666667,4,0.0243137254901961,0.0739233098843695
"1997","162","FemaleJ","Adult",0.666666666666667,1,0,0.000257130966150618
"1999","162","FemaleJ","Adult",2.99365079365079,7,0,0.136543479154012
"2011","162","FemaleJ","Adult",3.18571428571429,6,0,0.000634933004199298
"2013","162","FemaleJ","Adult",2.06666666666667,3,0,0.0441291652435767
"2019","162","FemaleJ","Adult",9.73333333333333,14,0.052377320111874,0.791095429175862
"2021","162","FemaleJ","Adult",5.67852147852148,18,0.0364325068870523,0.196512595975391
"2023","162","FemaleJ","Adult",5.37142857142857,14,0,0.0122842248477741
"1999","1621",NA,"Adult",4.11904761904762,7,0,0.171922328880836
"1999","1622",NA,"Adult",6.33333333333333,8,0,0.192060894039092
"1999","1623","FemaleJ","Adult",2.66666666666667,4,0,0.105659573469509
"1999","1626",NA,"Adult",3.66666666666667,4,0,0.113777771066969
"1999","1628",NA,"Adult",2.64047619047619,6,0,0.0810275735105778
"1999","1630","FemaleJ","Adult",6.88287268287268,20,0.00432748538011696,0.286944253200198
"1999","1631","FemaleJ","Adult",2.84126984126984,6,0,0.0794002512043762
"1999","1632",NA,"Adult",2.84126984126984,6,0,0.0794002512043762
"1999","1633","FemaleJ","Adult",6.06620046620047,25,0.19859649122807,0.300067709395311
"1999","1634","FemaleJ","Adult",7.75591630591631,29,0.126023391812865,0.549086282238538
"2001","1642",NA,"Adult",1.66666666666667,2,0,0.0240376030002981
"1999","1645","FemaleJ","Adult",6.23326118326118,19,0.044046783625731,0.28399511147742
"1999","1651","FemaleJ","Juvenile",4.24285714285714,13,0,0.218676942302807
"1990","166",NA,"Adult",2.65238095238095,5,0,0.0117267582842188
"1999","1662",NA,"Adult",2.09047619047619,4,0.0178947368421053,0.0222118853322506
"1999","1667","FemaleJ","Adult",1.66666666666667,2,0,0.00116463364947458
"1999","1672",NA,"Adult",1.83333333333333,3,0,0.0367296402204882
"1999","1674",NA,"Adult",1.4,3,0,0.0221881315373366
"1999","1676","Male","Adult",3.45238095238095,6,0,0.0692410318038348
"2001","1676","Male","Adult",8.66666666666667,9,0,0.831377187141501
"2002","1676","Male","Adult",0.666666666666667,1,0,8.16619879579339e-05
"2013","1676","Male","Adult",2.9,6,0,0.503377170347039
"1999","1677",NA,"Adult",3.95238095238095,7,0,0.0830682834934939
"1989","168",NA,"Adult",2.75,5,0.0220953106161558,0.018534939186285
"1999","1687",NA,"Adult",0.666666666666667,1,0,0.00486217478643172
"1999","1692","Male","Adult",7.79365079365079,11,0,1
"1999","1693","Male","Adult",7.57142857142857,10,0,0.990495157123966
